index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
13,小偷家族 万引き家族,2018,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤/足立智充,剧情/家庭/犯罪,东京的都市丛林中央，残存着一栋古旧寒酸的老房子，这里局促地生活着柴田一家五口人。在工地当临时工的男人阿治（Lily Franky 饰）经常带着儿子祥太（城桧吏 饰）到超市盗窃生活用品，这一天，他们回家路上遇到了独自待在户外的四岁女孩由里（佐佐木美结 饰）。妻子信代（安藤樱 饰）起初极力主张将女孩送回父母身边，但当看到女孩原生家庭的状况时又心生恻隐。原本柴田家就靠着老奶奶初枝（树木希林 饰）的养老金度日，而今多了一口人，自然更艰辛了几分。包括信代的妹妹亚纪（松冈茉优 饰）在内，虽然一家人游走在贫困和违法的边缘，但笃深的羁绊将他们紧紧联系在一起，使他们的心不会随着冰冷的都市而寒冷下去……,117分钟(中国大陆),2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本), 日本, 日语,606710.0,8.7,44.9%,44.6%,9.6%,0.7%,0.2%,152483.0,4021.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
14,无双 無雙,2018,庄文强,庄文强,周润发/郭富城/张静初/冯文娟/廖启智/周家怡/王耀庆/方中信/高捷/邢佳栋/张松枝/张建声/吴嘉龙/孙佳君,剧情/动作/悬疑/犯罪,身陷囹圄的李问（郭富城 饰）被引渡回港，他原本隶属于一个的跨国假钞制贩组织。该组织曾犯下过多宗恶性案件，而首脑“画家”不仅始终逍遥法外，连真面目都没人知道。为了逼迫李问吐露“画家”真实身份，警方不惜用足以判死刑的假罪证使其就范。就在此时，富有的遗孀阮文（张静初 饰）申请保释李问，而警方提出的条件依然是“画家”的真面目。,130分钟,2018-09-30(中国大陆)/2018-10-04(中国香港), 中国大陆 / 中国香港, 汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,751854.0,8.1,26.3%,53.0%,18.7%,1.6%,0.3%,200099.0,2964.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg
15,超时空同居,2018,苏伦,苏伦,雷佳音/佟丽娅/张衣/于和伟/王正佳/陶虹/李念/李光洁/杨玏/范明/徐峥/杨迪/方龄/陈昊,喜剧/爱情/奇幻,生活在2018年的大龄女青年谷小焦（佟丽娅 饰），梦想能够嫁一个能买得起她幼时豪宅的有钱人，却屡屡受挫，只能蜗居在一栋老居民楼里。生活在1999年的陆鸣（雷佳音 饰）手握着自己设计的宏伟蓝图，却始终找不到投资人，同时也面临重大的事业危机。奇怪的时刻来临了，失意的两个人回到家中居然发生了惊人的一幕，同一扇门关上后居然是两个时空的交汇点，两个不同时空的人相遇了，为了拯救自己的未来，两人共商大计，开启了幻想一夜暴富的一系列措施，引发了啼笑皆非的连锁反应。而他们不知道的是，两个时空的重叠是人为的操控，他们每走一步都会引发不可预知的结果，更要命的事，本来只是视对方为赚钱拍档的两人引发了爱的火花……,101分钟,2018-05-18(中国大陆), 中国大陆, 汉语普通话,437863.0,6.8,8.2%,35.8%,47.4%,7.6%,1.1%,118843.0,1986.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg
16,无问西东,2018,李芳芳,李芳芳,章子怡/黄晓明/张震/王力宏/陈楚生/铁政/祖峰/米雪/王盛德/韩童生/王鑫/郑铮/章泽天/黄梦莹/林美秀/保罗·菲利普·克拉克/胡家华/伊娜/吴谨言/纪帅/王天泽/伍麟凯/都金翰,剧情/爱情/战争,,138分钟,2018-01-12(中国大陆), 中国大陆, 汉语普通话,608727.0,7.6,25.5%,39.2%,26.7%,6.6%,2.0%,177867.0,9481.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507572275.jpg
17,邪不压正,2018,姜文,姜文/何冀平/李非/孙悦/张北海,彭于晏/廖凡/姜文/周韵/许晴/泽田谦也/安地/史航/李梦/丁嘉丽/陈曦,剧情/喜剧/动作,七七事变前夕，华裔青年小亨德勒（彭于晏 饰）从美国远赴重洋，回到阔别十数年之久的北平从医。然而他真正的名字叫李天然，十三岁那年曾亲眼目睹师父一家遭师兄朱潜龙（廖凡 饰）和日本人根本一郎（泽田谦也 饰）灭门。侥幸逃生的天然被美国人亨德勒医生送往大洋彼岸，接受了极其严苛的训练，而今他怀着绝密的任务踏上故土。亨德勒父子租住神秘男子蓝青峰（姜文 饰）的宅子，蓝是当年辛亥革命的参与者，他与现为警察局长的朱潜龙过从甚密，却又以杀死李天然为筹码，暗中怂恿朱除掉根本一郎。复仇心切的李天然寻找到了仇人，而亨德勒医生则全力阻止养子冒险。在这一过程中，交际花唐凤仪（许晴 饰）与裁缝关巧红（周韵 饰）也卷入了男人的勾心斗角的漩涡里。直到七七事变爆发，所有的矛盾迎来了决断的时刻……,137分钟,2018-07-13(中国大陆), 中国大陆, 汉语普通话 / 英语 / 日语 / 法语,567506.0,7.0,14.0%,37.1%,38.3%,8.4%,2.3%,165406.0,4512.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg
18,黑豹 Black Panther,2018,瑞恩·库格勒,瑞恩·库格勒/乔·罗伯特·科尔/斯坦·李/杰克·科比,查德维克·博斯曼/露皮塔·尼永奥/迈克尔·B·乔丹/丹娜·奎里拉/马丁·弗瑞曼/丹尼尔·卡卢亚/利蒂希娅·赖特/温斯顿·杜克/斯特林·K·布朗/安吉拉·贝塞特/福里斯特·惠特克/安迪·瑟金斯/弗洛伦丝·卡松巴/约翰·卡尼/大卫·S·李/娜比娅·毕,动作/科幻/冒险,位于非洲的神秘国家瓦坎达，凭借来自宇宙的振金而成为科技极度发达的国家，不过他们长久封闭，始终对外界保守这个秘密。在前国王死于联合国爆炸袭击后，特查拉王子（查德维克·博斯曼 Chadwick Boseman 饰）继任成为新的国王，同时他也是黑豹的继承者。登基之后，特查拉与前女友娜吉雅（露皮塔·尼永奥 Lupita Nyong'o 饰）、贴身侍卫奥姆烨（丹娜·奎里拉 Danai Gurira 饰）追查曾经盗取振金并杀害瓦坎达人的尤利西斯·克劳（安迪·瑟金斯 Andy Serkis 饰）。一番厮杀后，克劳侥幸逃脱，谁知最终死于合伙人艾瑞克·克尔芒戈（迈克尔·B·乔丹 Michael B. Jordan 饰）之手。艾瑞克同样具有瓦坎达血统，而且当年他的父亲死在了自己的兄弟——特查拉父亲的手中。,134分钟,2018-03-09(中国大陆)/2018-02-16(美国), 美国 / 南非 / 韩国 / 澳大利亚, 斯瓦希里语 / 英语 / 科萨语 / 韩语,375590.0,6.5,6.5%,27.0%,52.1%,12.0%,2.3%,94312.0,1652.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512123434.jpg
19,蚁人2：黄蜂女现身 Ant-Man and the Wasp,2018,佩顿·里德,克里斯·麦克纳/埃里克·萨默斯/保罗·路德/安德鲁·贝伦/加百利·法拉利,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利,动作/科幻/冒险,由于在“内战”中站到了美国队长一方，蚁人斯科特·朗（保罗·路德 Paul Rudd 饰）遭到了FBI的禁足惩罚。眼看离真正的自由还有几天功夫，偏偏麻烦找上门来。原来初代蚁人汉克·皮姆（迈克尔·道格拉斯 Michael Douglas 饰）通过研究发现，他的妻子黄蜂女（米歇尔·菲佛 Michelle Pfeiffer 饰）一定还活在量子领域，而斯科特是能够将妻子带回现实世界的唯一希望。不由分说，汉克的女儿霍普（伊万杰琳·莉莉 Nicole Lilly 饰）将斯科特带出房间。此后不久，他们不仅要躲避FBI的纠缠，更要提防来自神秘势力的袭击，而“幽灵”的出现更将斯科特等人带向前所未有的混乱当中。,118分钟,2018-08-24(中国大陆)/2018-07-06(美国), 美国, 英语,389280.0,7.3,12.1%,45.9%,38.1%,3.6%,0.4%,80974.0,481.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529389608.jpg
20,动物世界,2018,韩延,韩延,李易峰/迈克尔·道格拉斯/周冬雨/曹炳琨/王戈/苏可,剧情/动作/冒险,在游戏机厅做着兼职“小丑”的郑开司（李易峰 饰），幼时父亲突然失踪，母亲重病住院，使得郑开司的生活非常拮据。发小“大虾米”（曹炳琨 饰）借口买房骗下了郑开司父亲留下的房产，还给他带来了巨额的欠债。神秘人物（迈克尔·道格拉斯 Michael Douglas 饰）出现，告诉郑开司，只要参加“命运号”游轮上的神秘游戏，就有机会偿还完所有欠款，一无所有的郑开司为了给青梅竹马的护士刘青（周冬雨 饰）和母亲更好的生活，只得登上游轮，开始了生存游戏，一场以“剪刀、石头、布”展开的生死较量即将登场……,132分钟,2018-06-29(中国大陆), 中国大陆, 汉语普通话 / 英语,445796.0,7.2,11.9%,46.0%,35.3%,5.3%,1.4%,142502.0,4299.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg
21,波西米亚狂想曲 Bohemian Rhapsody,2018,布莱恩·辛格,安东尼·麦卡滕/皮特·摩根,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆· 普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森· 莱恩斯/伊斯雷尔·鲁兹,剧情/同性/音乐/传记,本片是对皇后乐队、传奇主唱弗雷迪·莫库里以及他们音乐的致敬盛宴，这是一段充满爱、痛苦、接纳和音乐的旅程。,135分钟,2019-03-22(中国大陆)/2018-11-02(美国), 英国 / 美国, 英语,424808.0,8.7,50.4%,37.7%,10.6%,1.1%,0.2%,124077.0,1560.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
22,捉妖记2,2018,许诚毅,吴炜伦/陈咏燊/苏亮,梁朝伟/白百何/井柏然/李宇春/杨祐宁/大鹏/吴君如/曾志伟/黄磊/柳岩/吴莫愁/伍嘉成/赵磊/谷嘉诚/彭楚粤/陈泽希/郭子凡/肖战/焉栩嘉/夏之光/姜超/娄艺潇/张俪,喜剧/动作/奇幻/古装,上一集与胡巴分别后，天荫（井柏然 饰）带着小岚（白百何 饰）踏上寻父之路，在义薄云天的天师堂堂主云大哥（杨祐宁 饰）的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷（梁朝伟 饰）和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时 ，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动……,110分钟,2018-02-16(中国大陆), 中国大陆 / 中国香港, 汉语普通话,298080.0,5.0,2.3%,8.0%,39.4%,36.5%,13.8%,89774.0,1272.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509643816.jpg
23,蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,2018,鲍勃·佩尔西凯蒂/彼得·拉姆齐/罗德尼·罗斯曼,菲尔·罗德/罗德尼·罗斯曼/布莱恩·本迪斯/萨拉·皮凯利/史蒂夫·迪特寇/斯坦·李/戴维·海因/法布里斯·萨波尔斯基,沙梅克·摩尔/杰克·约翰逊/海莉·斯坦菲尔德/马赫沙拉·阿里/布莱恩·泰里·亨利/莉莉·汤姆林/劳伦·维勒斯/佐伊·克罗维兹/约翰·木兰尼/贵美子·格伦/尼古拉斯·凯奇/凯瑟琳·哈恩/列维·施瑞博尔/克里斯·派恩/娜塔丽·莫瑞丝/奥斯卡·伊萨克/格里塔·李/斯坦·李/乔玛·塔科内/华金·科西奥/蕾克·贝尔/梅勒妮·海恩斯/尼克·杰恩/穆尼卜·拉赫曼/卡洛斯·萨拉戈萨/黛西·罗斯·布莱内斯/里夫·霍顿/哈里森·奈特/莱克斯·朗/凯特琳·麦肯纳-威尔金森/斯科特·门维尔/克里斯托弗·米勒/德维卡·帕利赫/柯特妮·佩尔顿/克里斯蒂·法瑞斯/杰奎琳·皮诺尔/贾斯汀·沉卡罗/梅利莎·斯特姆,动作/科幻/动画/冒险,正就读中学的少年迈尔斯（沙梅克·摩尔 Shameik Moore 配音）意外被一只遭受放射性污染的蜘蛛咬伤，随后身体发生奇特的变化。偶然机缘，他目睹了蜘蛛侠（克里斯·派恩 Chris Pine 配音）和犯罪头目金并（列维·施瑞博尔 Liev Schreiber 配音）的战斗。为了阻止金并利用时空对撞机扰乱宇宙，蜘蛛侠最终壮烈牺牲。可未过多久，来自平行宇宙的颓废的彼德·帕克（杰克·约翰逊 Jake M. Johnson 配音）出现在迈尔斯面前。为了阻止金并的阴谋，并帮助这个帕克返回自己的宇宙，他们闯入金并的老巢。在这一过程中，二人遭到章鱼博士和徘徊者的狙击。与此同时，来自其他宇宙的女蜘蛛侠、暗影蜘蛛侠、蜘猪侠、二次元蜘蛛妹相继出现。,116分钟(中国大陆),2018-12-21(中国大陆)/2018-12-14(美国), 美国, 英语 / 西班牙语,485416.0,8.6,45.8%,40.6%,12.4%,0.9%,0.3%,125017.0,965.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2542867516.jpg
24,快把我哥带走,2018,郑芬芬,赵越/郑芬芬/吕旭,张子枫/彭昱畅/赵今麦/孙泽源/周翊然/刘冠毅/姜宏波/徐光宇,喜剧/奇幻,拥有一个每天耍贱整蛊妹妹、毫无家庭感的哥哥是一种什么感受？油炸还是蒸锅？时秒只希望哥哥时分彻底消失！连珍贵的生日愿望都是“快把我哥带走”。不料愿望成真，哥哥变成闺蜜妙妙的哥哥，时秒同情妙妙的同时心里暗爽摆脱“大魔王”！变成独生女的时秒感觉生活无限美好，但却发现时分除了整天和好基友甄开心、万岁插科打诨、整蛊妹妹妙妙之外，还隐藏着不为人知的秘密……,115分钟,2018-08-17(中国大陆), 中国大陆, 汉语普通话,308939.0,6.9,10.9%,34.9%,42.9%,9.4%,1.9%,95478.0,1528.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2531080870.jpg
25,影,2018,张艺谋,李威/张艺谋,邓超/孙俪/郑恺/王千源/王景春/胡军/关晓彤/吴磊/封柏,剧情/动作/武侠/古装,战乱年代，群雄并起。割据一方的沛国安于现状，一任国主沛良（郑恺 饰）慨歌太平。要冲之地境州早年为强邻炎国借去，而今据而不还。沛国都督子虞（邓超 饰）前往讨伐，却中了对方大将杨苍（胡军 饰）的拖刀，重伤不愈。心有不甘的子虞暗中派出替身境州（邓超 饰）假扮自己，总理军政，内则使令夫人小艾（孙俪 饰）襄助。真假子虞切磋战法，寻求破解杨苍刀法的绝技。而另一方面，沛良恼怒子虞私自约战杨苍，不惜将妹妹青萍（关晓彤 饰）嫁于杨苍之子为妾媾和。淫雨霏霏，连日不开。境州上空，杀戮与机谋纠缠撕裂……,116分钟,2018-09-30(中国大陆)/2018-09-06(威尼斯电影节), 中国大陆 / 中国香港, 汉语普通话,484456.0,7.2,13.5%,43.9%,35.1%,5.9%,1.6%,150906.0,4214.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530513100.jpg
26,巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs,2018,伊桑·科恩/乔尔·科恩,伊桑·科恩/乔尔·科恩,哈利·米尔林/佐伊·卡赞/连姆·尼森/詹姆斯·弗兰科/大卫·克朗姆霍茨/汤姆·威兹/克兰西·布朗/蒂姆·布雷克·尼尔森/布莱丹·格里森/比尔·赫克/斯蒂芬·鲁特/泰恩·黛莉/拉尔夫·伊内森/切尔西·罗斯/绍尔·鲁宾内克/琼乔·奥雷尔/马修·维利希/杰西·卢肯/保罗·瑞/格兰杰·海恩斯/杰弗森·梅斯/山姆·狄龙/比利·洛克伍德/汤姆·普罗克特/E·E·贝尔/丹尼·麦卡锡/杰克莫·巴泽尔/伊索·阿克瑞恩,喜剧/歌舞/西部,,133分钟,2018-08-31(威尼斯电影节)/2018-11-16(美国), 美国, 英语,86528.0,8.5,38.7%,48.7%,11.6%,0.8%,0.2%,22675.0,268.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539127687.jpg
27,大黄蜂 Bumblebee,2018,特拉维斯·奈特,克里斯蒂娜·霍德森,海莉·斯坦菲尔德/小豪尔赫·兰登伯格/约翰·塞纳/杰森·德鲁克/帕梅拉·阿德龙/斯蒂芬·施耐德/里卡多·霍约斯/约翰·奥提兹/格林·特鲁曼/兰·卡琉/格蕾丝·达斯恩妮/弗里德·杜莱尔/蓝尼·雅各布森 /梅金·普莱斯/萨钦·巴特/蒂姆·马丁·格里森/安东尼奥·查丽蒂/艾德文·霍德吉/拉斯·斯兰德/迪伦·奥布莱恩/彼特·库伦/安吉拉·贝塞特/贾斯汀·塞洛克斯/大卫·索博洛夫/格蕾·德丽斯勒/史蒂夫·布卢姆/安德鲁·莫尔加多/威廉·W·巴伯/罗伯特·切斯纳特/米歇尔·方/克里斯蒂安·哈切森/里克·理查森/瓦内萨·罗斯/波士顿·拉什·弗里曼/托尼·托斯特/迪娜·特鲁迪/艾蒂安·维克,动作/科幻/冒险,,114分钟,2019-01-04(中国大陆)/2018-12-21(美国), 美国 / 中国大陆, 英语,325395.0,7.0,11.4%,38.1%,42.2%,7.2%,1.1%,91458.0,1300.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541662397.jpg
28,网络谜踪 Searching,2018,阿尼什·查甘蒂,阿尼什·查甘蒂/赛弗·奥哈尼安,约翰·赵/米切尔·拉/黛博拉·梅辛/约瑟夫·李/萨拉·米博·孙/亚历克丝·杰恩·高/刘玥辰/刘卡雅/多米尼克·霍夫曼/西尔维亚·米纳西安/梅丽莎·迪斯尼/康纳·麦克雷斯/科林·伍德尔/约瑟夫·约翰·谢尔勒/阿什丽·艾德纳/考特尼·劳伦·卡明斯/托马斯·巴布萨卡/朱莉·内桑森/罗伊·阿布拉姆森/盖奇·比尔托福/肖恩·奥布赖恩/瑞克·萨拉比亚/布拉德·阿布瑞尔/加布里埃尔·D·安吉尔,剧情/悬疑/惊悚/犯罪,工程师大卫·金（约翰·赵 饰）一直引以为傲的16岁乖女玛戈特突然失踪。前来调查此案的警探怀疑女儿离家出走。不满这一结论的父亲为了寻找真相，独自展开调查。他打开了女儿的笔记本电脑，用社交软件开始寻找破案线索。大卫必须在女儿消失之前，沿着她在虚拟世界的足迹找到她…,102分钟,2018-12-14(中国大陆)/2018-01-20(圣丹斯电影节)/2018-08-24(美国), 美国 / 俄罗斯, 英语,393575.0,8.6,40.1%,48.7%,10.6%,0.5%,0.1%,103634.0,964.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg
